"f7","f7 2","b","flex","flex 2","b 2","mv1","b 3","mv1 2","w_iUH7","b 4","tl-m","ml1","w_kV33"
"Nov 3, 2025","Amy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I am very happy with my purchase. 
My cats enjoy it.","(0)",""
"Oct 1, 2025","Justin","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","this package arrived early and it was very easy to set up I like this package","(0)",""
"Oct 2, 2025","tera","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I love this ! And my Isabella does as well !","(0)",""
"Oct 21, 2025","joAnn","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I assembled in 2 hours. Cats seem to enjoy it. It's  a nice one for 1-2.","(0)",""
"Sep 29, 2025","SILVIA","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Very sturdy, easy to assemble , cats loving it!!","(0)",""
"Jul 3, 2025","Rita","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","great product, easy to put together. cats love it, thank you","(0)",""
"Jul 12, 2025","Leslie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","All pieces were included. Hubbie had no problems putting it together","(0)",""
"Jul 15, 2025","Kelly","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Just got through putting it together. 3-5 as far as difficulty putting it together. Takes 2 people.","(0)","Tree cat house."
"Oct 21, 2025","ilene","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","my 11 yr old granddaughter put it together and the cats love it","(0)",""
"Oct 28, 2025","Karen","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My kitten can make it wobble if runs and jumps to run up.","(0)","Kitten loves it"
"Nov 8, 2025","leticia","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","Very loose. Need to retun","(0)",""
"Nov 14, 2025","Caryl","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Exactly as it looks. Easy to assemble. Just what we needed.","(0)",""
"Nov 8, 2025","Sharee","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","My cats love this and easily holds two of them at the same time.","(0)","Sleek looking and well made"
"Nov 22, 2025","Nicole","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","could be a little sturdier but our kitty loves it","(0)",""
"Nov 18, 2025","Deborahm","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","easy assemvly. very sturdy","(0)",""
"Nov 22, 2025","Amber","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","A wonderful product for my fat cats","(0)",""
"Nov 22, 2025","Valerie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Too small retuned sorry my mistake","(0)",""
"Nov 18, 2025","Peter","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","missing screws that came with the product","(0)","Unhappy with my cat tower"
"Nov 22, 2025","Theresa","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","a little wobbly for heavyer cats","(0)",""
"Jun 9, 2025","anonymous","Item details","Color: Beige","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Good purchase for the cost. Would recommend.","(0)","Cat tree"
"Jun 19, 2025","Melanie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","kitten loves it keeps her buzy","(0)","kitty"
"Sep 24, 2025","raquel","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","my baby kitty loves it 🥰","(0)","PERFECT"
"Oct 24, 2025","sisuphanh","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Great price but not very sturdy.","(0)",""
"Oct 28, 2025","Joan","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","Not quite as big as I thought, but the cats don't seem to mind.  Nice dark gray color.","(0)","Cat's like it."
"Oct 28, 2025","bobby","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","it took forever to put together and it's too have but my kitty loves it","(0)","take the good with the bad"
"Oct 13, 2025","Rosealie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Hard to put together so husband going to do it but other then that my kittens love it","(0)",""
"Jul 4, 2025","Kelly","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","My two cats love this cat tree,","(0)",""
"Aug 15, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Very cheaply made. Have an even had it very long and already fallen apart.","(0)","Worst cat tree ever."
"Aug 2, 2025","Keith","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","2 tower pedestals broke in first 2 weeks","(0)",""
"Oct 8, 2025","britany","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","So fair great product no complaints","(0)",""
"Oct 14, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Has a weird smell at first but is very soft and sturdy and my cats love it","(0)",""
"Oct 10, 2025","Lisa","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","my 6 cats love it and i love watching t kittens play on it","(0)",""
"Oct 13, 2025","larry","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","They like it and thats all that matters","(0)",""
"Oct 11, 2025","Hellen","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My kitten %26 cat love it","(0)",""
"Sep 7, 2025","Vicki","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","my kiddy loves it. thats all that matters to me.","(0)",""
"Sep 10, 2025","Sandie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","i had no problems, jut needed time to put it together.","(0)","awsome product, i would buy again."
"Sep 11, 2025","Tracy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","OMG My 5 cats luuuuuv it.","(0)",""
"Sep 19, 2025","Linda","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Kitty paradise, blends right into your living room with style❣️","(0)","Kitty Paradise"
"Sep 26, 2025","Steven","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","never ordered it, when assembled, it seems like it was not very sturdy at all","(0)",""
"Oct 21, 2025","Marshelle","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","It's great, I love it, the cats love it!","(0)","Awesome!"
"Aug 1, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My fur grand baby's like the cat tree.","(0)",""
"Sep 30, 2025","Kris","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","Much smaller than expected","(0)",""
"Oct 9, 2025","Redchef809","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","No holes where there should be holes.","(0)",""
"Oct 3, 2025","SlB99","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","The best cat tree ! Easy assembly , very sturdy and my kitten is loving it ! I purchased two !!","(0)","Cat tree"
"Jul 24, 2025","RONALD","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Product is well worth the price","(0)",""
"Jul 3, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","A great deal. Worth the money.","(0)",""
"Oct 31, 2025","Ipodding","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","Very small more for kittens that adult cats do love the height","(0)","Cat tree"
"Jul 4, 2025","Sandee","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This is the nicest and scariest cat. I've seen yet really good product for a good price.","(0)",""
"Jun 20, 2025","jason","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","A  easy to assemble once your sober","(0)",""
"Aug 3, 2025","Sandra","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","this cat tree is for smaller cats. the bigger cat's  move this tree, like tipping it.","(0)",""
"Jun 16, 2025","Sandy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","Not very stable but the kitties really like it!","(0)",""
"Jul 17, 2025","Kacy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","Our cats like this cat tree! However, some parts of putting it together were quite challenging!","(0)","Good cat tree"
"Oct 8, 2025","Walmart customer","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","it was easy to put together and the cat loves it and it was a great price. thanks, Walmart","(0)",""
"Oct 11, 2025","Argentina","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","While it's cute, it's not built sturdy, the round plat forms broke.","(0)","Cat Tree Stand"
"Jul 18, 2025","Christina","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","it was easy to put together, got it on sale,  great value.  my cats love it.","(0)",""
"Oct 14, 2025","Aperfectcircle013","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Great quality cats love the height !","(0)","Great price good quality!"
"Jun 12, 2025","Paula","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","very hard to put together the screws strep very easily","(0)",""
"Jun 17, 2025","Debbie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","To small for cat to climb or sit on. I'm very disappointed!!","(0)",""
"Sep 1, 2025","CYNDIE","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Cats love this was so easy to assemble","(0)",""
"Aug 6, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Easy to put together and sturdy","(0)","Impressive"
"Jul 11, 2025","John","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Best price for a good cat tower. AWESOME","(0)",""
"Oct 12, 2025","ashly","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","I would give 5 stars but I missing 2 double side threaded screws and cannot complete the tree.","(0)",""
"Nov 4, 2025","Teresa","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","2 out of 5 stars review","Verified Purchase","Is a lot smaller than the photo makes it seem","(0)","Small"
"Oct 29, 2025","Chloe","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","one of the posts broke before I even assembled it but that was the only complaint for me.","(0)","cats like it"
"Nov 13, 2025","Filomena","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","The jacket was an xxl, I ordered an xl, jacket was way too small","(0)",""
"Nov 12, 2025","james","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","It is for kittens not adult cats... Not for large cats.","(0)",""
"Nov 13, 2025","WENDY","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","Fine for a kitten but not for a full grown cat. Too small.","(0)",""
"Oct 29, 2025","ZusiQ","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","This cat tree is super sturdy! Not real big so fits in small spaces. Our two cats love it!","(0)","Best cat tree"
"Nov 21, 2025","Stormy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","husband couldnt figure it all out and had to set it up without the top level","(0)","my cat likes it"
"Nov 21, 2025","Lianne","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Easy assembly. Bigger than how it looks on the picture.","(0)","Great product"
"Nov 17, 2025","Shelby","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","2 out of 5 stars review","Verified Purchase","very cheaply made did not come with hardware!","(0)",""
"Nov 16, 2025","Dot","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Installation was a bit tricky.  I wish the instructions were  clearer.   It took me a long time.","(0)",""
"Nov 20, 2025","Emalee","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I love how easy it was to put together and my cat loves it","(0)","Awesome Product"
"Apr 2, 2025","Melissa","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cat absolutely LOVESSS this! He has not left it alone since he got it. I would definitely recommend it for everyone's cat/cats!","(0)","Amazing Product"
"Apr 6, 2025","suzanne","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","ill put this in my cats own words...they like it very much,  there is always a cat on it or its filled with my cats.","(0)",""
"Apr 13, 2025","Chantel","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","i dont dislike anything bout it. Its big and really cheap. The nicest cat tower I've ever owned and my cat loves it!!!","(0)",""
"Mar 28, 2025","Rick","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","Although decent, it is more or less made for kittens. Had to return because my 2 adult cats laughed at me","(0)","Kitten tree not cat tree"
"Apr 17, 2025","Gail","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Our kitty loves it. Within the first 10 minutes, she had already ripped one of the balls off the rope.","(0)","Kitty loves this condo"
"Mar 28, 2025","Bruce","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","Good product, cat loves it. 4 out of 5 star because it is a HASSLE putting together and the holes do NOT line up.","(0)",""
"Jul 11, 2025","mary","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","My one cat Iris is always on that tree but other cat Sally she won't have nothing to do with it, but Iris loves it so it's good thank you","(0)",""
"Jul 11, 2025","Mark","Item details","Color: Ashy","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","I Paid for the Cat Tower Scratch post to get Assembled. and it wasnt Assembled but i got a $80 Assembling charge.","(0)",""
"Aug 20, 2025","Cari","Item details","Color: Pink","Assembled product height: 56""","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Our cat loves this cat tower and it's my favorite color too, PINK! It's taller than my 10 year old son too!","(0)",""
"Jul 9, 2025","Jennifer","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Easy to assemble, looks great, but the top tiers are a little wobbly even though they are fully screwed in place","(0)",""
"Aug 4, 2025","Dee","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My kitty and i both love this tower and i got it on clearance for $40.  That's more than 50% off the regular price.  What a bargain we got!!!","(0)",""
"Jul 23, 2025","Erika","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Difficult to put together if you don't have knowledge of tools. But cats love it and the stand is fairly sturdy","(0)","Cute and great for the money"
"Apr 19, 2025","Isabelle","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cats love the cat tree, very great deal! I recommend buying these cat trees online instead of instore! Best deal!","(0)","My cats are happy! Great Purchase!!!"
"Sep 10, 2025","Yevette","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","One cat loves it but the other one is a little unsure I love the size and the look.","(0)","Cat condos"
"Sep 17, 2025","Michael","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","The item falls apart so easily I can't with this item anymore.","(0)",""
"Aug 29, 2025","Alexis","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My kitty cat absolutely loves and very affordable!","(0)",""
"Sep 3, 2025","Mel","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My kitty loves this house. It was easy to assemble and worth the money.","(0)",""
"Sep 19, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","It's a good deal… for a reason. Pretty cheaply made but whatever my cat still likes it.","(0)","Bargain buy…"
"Sep 2, 2025","Teri","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","This is wobbly and one of the perches has already fallen off.  Need to return it.","(0)","Not that stable for active cats"
"May 19, 2025","Thomas","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Fast shipping, smooth transaction.","(0)","Cats are happy."
"May 22, 2025","Happy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Love it!! Also I can say h pieces around from others I bought","(0)","So happy"
"Sep 18, 2025","Randy","Item details","Color: Navy Blue","Assembled product height: 70""","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","It's really nice, but it's smaller than I would have liked","(0)","small"
"Sep 9, 2025","Laurell","Item details","Assembled product height: 54 in","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","way too many parts to put together. once I did get it together it was great","(0)",""
"May 20, 2025","Jessica","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","not very sturdy, purches dont screw tight and seems smaller than advertised","(0)",""
"May 17, 2025","Maureen","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cats love it. They immediately climbed all over it and are sleeping in it right now.","(0)",""
"May 14, 2025","Karen","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Oh my how baby kitty loves this I'm so happy she has this","(0)",""
"Sep 14, 2025","Milisa","Item details","Color: Dark Gray","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","Product came with absolutely no hardware, screws, bolts or anything","(0)",""
"Sep 14, 2025","Walmart customer","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This cat tree is the perfect size for my cats to hang out with me in my office! We all love it!","(0)",""
"Sep 4, 2025","Cindy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","The size is to short cheap material","(0)","Don't waste your money"
"Sep 4, 2025","Walmart customer","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","easy assembly! It's sturdy and very pretty, too! My cat loves it.","(0)","perfect and priced right!"
"Sep 14, 2025","Jeanette","Item details","Color: Pink","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","My cat absolutely loves it…it's easy to put together and very sturdy…","(0)",""
"Apr 27, 2025","Terri","Item details","Color: Dark Gray","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Built well. The color is more of a blue gray. The only thing is I wish the top sleeping disc was a bit larger for larger cats to rest on.","(0)",""
"Mar 31, 2025","Diane","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Very easy to assemble! My cat absolutely loves it and stays on it to play and relax for naps!  Love it!","(0)","Combo cat combo"
"Apr 9, 2025","Outdoolighting","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cats absolutely love this cat tree. Best investment I've made for them 
Price was incredibly low and easy to assemble","(0)",""
"Jun 14, 2025","Kayla","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","difficult to assemble as parts are awkward to put together. but comes out as pictured. im using it for rats","(0)",""
"Apr 3, 2025","David","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","I'm super happy with the cat tree, for being so tall it's very stable and my cats actually love it and play or lounge on it constantly. Great value!","(0)",""
"Mar 29, 2025","Kim","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Turned out very nice but was was not fun putting it together. My cats seem to like it and that makes me happy.","(0)",""
"May 22, 2025","michelle","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","quality is pretty good, but awkward layout, too small for average size cat.  for kittens it would be fine.","(0)",""
"Apr 10, 2025","Connie","Item details","Size: 54""","Color: Pink","Sold and shipped by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","I did not realize it was for kittens. My cat is larger, but she likes it. It's just kind of wobbly because she's a bigger cat","(0)","Kitten Tree"
